"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.02.2026","311,75","314,50","316,25","308,75","30,21M","-0,48%"
"20.02.2026","313,25","307,25","314,75","306,00","42,69M","2,04%"
"19.02.2026","307,00","313,25","321,25","304,50","74,72M","-1,05%"
"18.02.2026","310,25","294,75","315,50","294,75","83,19M","5,53%"
"17.02.2026","294,00","296,75","301,75","293,25","32,32M","-0,84%"
"16.02.2026","296,50","303,25","304,50","295,25","33,97M","-1,90%"
"13.02.2026","302,25","302,00","304,00","298,50","38,04M","0,25%"
"12.02.2026","301,50","295,00","303,50","292,50","40,21M","2,55%"
"11.02.2026","294,00","298,00","300,00","291,50","39,50M","-1,42%"
"10.02.2026","298,25","292,25","298,25","291,00","38,58M","2,14%"
"09.02.2026","292,00","291,00","294,25","287,25","28,75M","1,39%"
"06.02.2026","288,00","285,00","292,75","283,00","41,86M","1,05%"
"05.02.2026","285,00","302,75","303,00","283,75","41,44M","-5,79%"
"04.02.2026","302,50","299,00","304,00","297,25","46,64M","1,94%"
"03.02.2026","296,75","304,25","306,50","291,75","50,54M","-0,92%"
"02.02.2026","299,50","300,00","306,00","293,75","36,84M","-1,24%"
"30.01.2026","303,25","317,00","317,25","303,25","52,70M","-4,94%"
"29.01.2026","319,00","310,25","323,00","309,00","58,98M","3,74%"
"28.01.2026","307,50","312,25","316,25","307,50","54,25M","-0,97%"
"27.01.2026","310,50","328,50","333,50","308,00","70,51M","-3,94%"
"26.01.2026","323,25","300,75","324,25","300,75","64,69M","7,48%"
"23.01.2026","300,75","302,75","306,75","296,75","51,22M","0,17%"
"22.01.2026","300,25","295,00","304,75","287,50","85,59M","-0,99%"
"21.01.2026","303,25","338,50","339,25","303,25","109,81M","-9,95%"
"20.01.2026","336,75","317,50","338,25","317,00","72,99M","6,57%"
"19.01.2026","316,00","310,00","325,00","305,75","53,30M","2,18%"
"16.01.2026","309,25","303,25","312,50","301,00","50,89M","2,23%"
"15.01.2026","302,50","289,25","304,50","285,75","57,15M","5,03%"
"14.01.2026","288,00","292,00","292,50","283,00","46,38M","-0,60%"
"13.01.2026","289,75","283,00","292,75","282,50","55,04M","2,39%"
"12.01.2026","283,00","285,75","294,75","280,00","73,29M","1,07%"
"09.01.2026","280,00","265,00","280,00","263,50","46,75M","6,57%"
"08.01.2026","262,75","264,00","268,50","260,25","39,42M","-0,28%"
"07.01.2026","263,50","259,00","270,00","257,75","46,56M","2,53%"
"06.01.2026","257,00","240,00","258,00","238,80","54,99M","7,08%"
"05.01.2026","240,00","233,00","242,50","233,00","34,33M","4,26%"
"02.01.2026","230,20","232,00","233,70","228,50","20,36M","-0,65%"
"31.12.2025","231,70","229,80","237,30","229,20","33,39M","1,18%"
"30.12.2025","229,00","222,00","231,30","222,00","34,83M","3,62%"
