"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.02.2026","318,75","325,75","325,75","317,00","48,06M","-0,55%"
"20.02.2026","320,50","314,50","320,50","313,75","49,75M","2,56%"
"19.02.2026","312,50","330,50","331,00","310,25","81,99M","-4,80%"
"18.02.2026","328,25","345,75","350,00","324,75","94,43M","-4,86%"
"17.02.2026","345,00","346,25","350,75","343,00","59,81M","-0,79%"
"16.02.2026","347,75","349,75","352,50","345,00","60,50M","0,00%"
"13.02.2026","347,75","337,50","351,25","337,25","79,36M","3,19%"
"12.02.2026","337,00","332,25","341,25","331,00","70,65M","1,81%"
"11.02.2026","331,00","330,50","337,75","329,00","61,37M","-0,60%"
"10.02.2026","333,00","329,00","333,25","327,75","52,37M","1,06%"
"09.02.2026","329,50","326,50","329,75","321,75","63,95M","2,17%"
"06.02.2026","322,50","317,00","324,50","311,75","67,71M","1,74%"
"05.02.2026","317,00","318,50","322,00","316,00","64,93M","-1,09%"
"04.02.2026","320,50","320,00","322,75","315,00","67,17M","0,55%"
"03.02.2026","318,75","308,00","319,25","308,00","84,53M","4,25%"
"02.02.2026","305,75","300,25","310,00","298,00","94,70M","0,58%"
"30.01.2026","304,00","302,25","308,25","298,50","83,27M","0,58%"
"29.01.2026","302,25","300,00","307,25","298,00","104,31M","1,43%"
"28.01.2026","298,00","294,25","303,00","294,25","92,40M","1,27%"
"27.01.2026","294,25","299,75","301,00","293,75","47,51M","-1,67%"
"26.01.2026","299,25","299,00","302,75","296,00","46,07M","-0,58%"
"23.01.2026","301,00","300,50","304,25","299,50","50,71M","0,67%"
"22.01.2026","299,00","299,00","301,00","294,75","63,54M","0,67%"
"21.01.2026","297,00","292,50","297,00","290,00","52,55M","1,71%"
"20.01.2026","292,00","295,75","296,75","291,50","44,54M","-1,27%"
"19.01.2026","295,75","294,25","299,75","292,50","72,95M","1,28%"
"16.01.2026","292,00","290,50","295,50","288,50","52,81M","1,48%"
"15.01.2026","287,75","280,75","288,75","280,50","52,64M","2,68%"
"14.01.2026","280,25","288,50","289,00","279,50","47,68M","-2,35%"
"13.01.2026","287,00","292,00","292,50","285,75","50,35M","-1,54%"
"12.01.2026","291,50","291,75","294,50","289,25","49,23M","0,00%"
"09.01.2026","291,50","296,00","298,00","290,25","51,36M","-1,02%"
"08.01.2026","294,50","291,00","295,75","286,50","60,71M","1,29%"
"07.01.2026","290,75","289,50","295,25","287,50","71,17M","0,78%"
"06.01.2026","288,50","279,00","289,25","279,00","60,29M","3,87%"
"05.01.2026","277,75","274,25","279,00","272,50","38,93M","1,28%"
"02.01.2026","274,25","271,00","274,25","269,75","28,89M","2,14%"
"31.12.2025","268,50","268,50","269,75","267,25","20,57M","0,28%"
"30.12.2025","267,75","265,00","269,75","264,75","32,53M","1,23%"
"29.12.2025","264,50","268,25","269,00","262,75","31,54M","-1,31%"
"26.12.2025","268,00","271,25","271,50","267,25","22,20M","-1,20%"
"25.12.2025","271,25","272,50","273,50","271,00","12,98M","0,00%"
"24.12.2025","271,25","271,00","272,50","269,25","26,07M","0,28%"
"23.12.2025","270,50","271,75","272,00","270,00","23,71M","-0,55%"
"22.12.2025","272,00","277,75","278,50","271,75","31,22M","-1,89%"
"19.12.2025","277,25","275,00","277,75","273,75","38,16M","1,00%"
"18.12.2025","274,50","274,50","277,25","273,25","38,60M","0,18%"
