"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.02.2026","227,50","223,30","227,70","223,30","25,66M","2,66%"
"20.02.2026","221,60","221,60","224,10","217,50","28,78M","0,05%"
"19.02.2026","221,50","223,60","229,80","221,00","48,54M","-0,27%"
"18.02.2026","222,10","220,50","223,90","218,20","38,75M","0,95%"
"17.02.2026","220,00","223,00","223,50","219,70","22,83M","-1,57%"
"16.02.2026","223,50","222,60","226,30","222,00","24,52M","0,86%"
"13.02.2026","221,60","223,70","226,10","220,60","25,62M","-0,76%"
"12.02.2026","223,30","217,00","223,90","216,10","33,91M","3,43%"
"11.02.2026","215,90","215,00","218,20","213,80","26,53M","0,70%"
"10.02.2026","214,40","221,00","222,00","213,50","28,40M","-2,46%"
"09.02.2026","219,80","221,30","223,90","218,90","32,63M","-1,43%"
"06.02.2026","223,00","226,60","229,10","222,60","21,12M","-1,55%"
"05.02.2026","226,50","229,20","233,30","226,10","22,29M","-1,18%"
"04.02.2026","229,20","234,50","237,70","229,20","25,88M","-2,05%"
"03.02.2026","234,00","231,70","235,10","228,10","40,10M","1,92%"
"02.02.2026","229,60","239,90","239,90","226,60","37,42M","-6,21%"
"30.01.2026","244,80","246,90","247,80","240,00","20,94M","-1,45%"
"29.01.2026","248,40","244,00","248,40","240,80","30,42M","2,56%"
"28.01.2026","242,20","228,30","244,70","228,30","32,93M","6,60%"
"27.01.2026","227,20","227,00","228,30","223,10","18,01M","0,09%"
"26.01.2026","227,00","224,50","228,20","223,70","16,87M","0,53%"
"23.01.2026","225,80","227,90","229,30","225,00","15,70M","-0,40%"
"22.01.2026","226,70","223,40","227,40","219,50","21,61M","2,53%"
"21.01.2026","221,10","228,50","230,60","217,00","27,08M","-2,56%"
"20.01.2026","226,90","222,90","228,00","222,40","25,44M","1,84%"
"19.01.2026","222,80","222,50","226,20","218,70","23,06M","0,13%"
"16.01.2026","222,50","218,60","223,70","217,20","20,08M","1,78%"
"15.01.2026","218,60","217,20","218,90","212,20","24,58M","0,05%"
"14.01.2026","218,50","208,30","220,50","207,80","38,03M","4,85%"
"13.01.2026","208,40","203,70","209,00","203,10","31,05M","2,66%"
"12.01.2026","203,00","198,00","203,60","196,70","22,77M","2,89%"
"09.01.2026","197,30","197,50","200,40","194,70","20,14M","0,31%"
